State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,2883319880.0,6.5,4830081,421302.1667,915322.4167,1414951864,128.8209,279.8767
Alaska,443908978.4,6.5,737068,38279.0833,91363.8333,189565646,172.9036,412.6833
Arizona,8189692878.0,8.0,6632764,476688.5,1111105.25,1648236258,123.6184,288.14
Arkansas,1412106992.0,7.5,2959400,224453.8333,504620.9167,731845896,120.8574,271.7136
California,15768503224.0,8.9,38260787,1905869.0,4159030.75,7558348393,151.4445,330.4857
Colorado,3062212570.0,6.8,5269035,231487.6667,507933.9167,823529607,135.111,296.4627
Connecticut,1579567773.0,7.8,3594841,233171.4167,425319.5,707654612,138.6516,252.9093
Delaware,502047740.3,6.7,923576,72243.5833,153137.25,235028481,127.8964,271.1065
Florida,10071335584.0,7.2,19545621,1943901.583,3556472.917,5906158957,138.3899,253.1918
Georgia,5245788392.0,8.2,9972479,907896.3333,1948188.583,3188743586,136.3978,292.6861
Hawaii,509054101.7,4.8,1408243,96021.5,189349.75,494182027,217.4908,428.8814
Idaho,759674746.7,6.2,1611206,97927.0833,227006.25,346782947,127.303,295.103
Illinois,7839065368.0,9.2,12895129,1017189.583,2040053.25,3378095657,137.9905,276.7507
Indiana,4205383182.0,7.5,6568713,415518.1667,926010.9167,1461136176,131.4902,293.035
Iowa,3960865384.0,4.6,3092997,198500.25,420344.4167,586542123,116.282,246.239
Kansas,1513568780.0,5.4,2893212,149233.0,316982.5833,474255829,124.6798,264.8296
Kentucky,2438921454.0,8.3,4404659,420210.8333,872438.5833,1332998664,127.325,264.3512
Louisiana,2216834661.0,6.2,4624527,425647.9167,940099.6667,1479828133,131.1765,289.7207
Maine,657303870.5,6.7,1328009,130374.25,249118.5,367069888,122.7896,234.6258
Maryland,2509739948.0,6.6,5923188,392183.5833,771020.75,1178661931,127.3919,250.4486
Massachusetts,3827930586.0,7.1,6713315,498580.0833,887618.6667,1394535579,130.9248,233.0845
Michigan,5851569062.0,8.8,9913065,909764.0,1775645.667,2911624110,136.6463,266.7014
Minnesota,4584980155.0,5.1,5413479,274236.25,552928.3333,771362512,116.2541,234.3972
Mississippi,1654276503.0,8.6,2988711,305004.9167,668624.3333,993077956,123.7713,271.3284
Missouri,3654208980.0,6.5,6040715,437443.1667,929942.8333,1428882352,128.0439,272.2034
Montana,500145703.6,5.6,1013569,59397.8333,128530.9167,192259685,124.652,269.7344
Nebraska,1052268653.0,3.9,1865279,79378.6667,179710.6667,264636314,122.7141,277.8206
Nevada,817172094.3,9.8,2775970,174638.4167,360953.1667,535230693,123.5688,255.3995
New Hampshire,924434873.5,5.3,1326622,56201.0833,117314.8333,162970800,115.7646,241.6484
New Jersey,3321638019.0,8.2,8856972,432269.5,876266.0,1419226622,134.9692,273.5999
New Mexico,1051517078.0,6.9,2092273,197359.0,440361.6667,679481811,128.584,286.906
New York,10311931101.0,7.7,19624447,1710501.25,3170465.0,5621405245,147.7545,273.8673
North Carolina,4255606957.0,8.0,9843336,786063.9167,1703700.417,2491197794,121.8523,264.1004
North Dakota,421661584.2,2.9,722036,26269.9167,56522.8333,85530266,126.0999,271.3188
Ohio,6421237916.0,7.4,11576684,889427.1667,1824674.833,2923160707,133.5014,273.8805
Oklahoma,1778587183.0,5.4,3853214,287398.1667,621830.9167,958684325,128.476,277.978
Oregon,2296863708.0,7.7,3922468,451419.5833,817574.8333,1250176428,127.4273,230.7861
Pennsylvania,7367054550.0,7.4,12776309,869835.8333,1784790.25,2748346529,128.3226,263.3013
Rhode Island,649316889.5,9.5,1055081,100542.6667,179925.0,302890523,140.2855,251.0464
South Carolina,2289810378.0,7.6,4764080,416723.75,875865.75,1381782118,131.4682,276.3186
South Dakota,649529202.2,3.8,842316,45312.0,104051.5833,165040184,132.1782,303.5255
Tennessee,3132834993.0,8.2,6494340,662204.3333,1342089.417,2127681953,132.1125,267.7524
Texas,11311390683.0,6.3,26480266,1674350.083,4041891.083,5934441831,122.3528,295.3605
Utah,1717424604.0,4.4,2897640,101027.25,251626.0,377903214,125.1537,311.7172
Vermont,393893570.0,4.4,626210,52337.3333,100541.25,150054164,124.372,238.9215
Virginia,4671895920.0,5.5,8252427,456488.5833,940932.1667,1442442319,127.7494,263.3221
Washington,2477981796.0,7.0,6963985,591112.5,1113440.917,1678737077,125.6418,236.6635
West Virginia,1398937899.0,6.5,1853914,167013.9167,350695.4167,504485785,119.8775,251.7184
Wisconsin,2756437232.0,6.7,5736754,416826.4167,856729.5,1198302422,116.5578,239.5686
Wyoming,246150077.8,4.6,582122,16211.0,38046.1667,56980056,124.8046,292.9084
