State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands),GDP
Alabama,2908765139.0,3.9,4887681,360067.0,766680.5833,1084563290,251.0096,117.885175,49936,30.0,1.06,21.1,2020.1,200370000000.0
Alaska,404828433.7,6.6,735139,40515.5,91995.0,187357117,385.3609833,169.7167583,74161,50.0,-0.79,-2.5,314.7,53330000000.0
Arizona,5080637675.0,4.8,7158024,387657.1667,845732.5,1210429898,260.2019667,119.2683917,67201,4.0,2.92,80.6,2839.5,314830000000.0
Arkansas,1401643324.0,3.7,3009733,164761.3333,372451.1667,480472657,243.0144667,107.5023833,53712,17.0,1.46,18.0,1254.5,115890000000.0
California,17516670303.0,4.2,39461588,1946002.75,3949534.917,6332717643,271.18485,133.6173667,76055,8.0,2.49,413.7,16995.7,2644060000000.0
Colorado,2863430831.0,3.3,5691287,221726.4167,449823.8333,668610833,251.289725,123.8653083,78801,7.0,2.58,67.3,2679.7,342730000000.0
Connecticut,1854947718.0,4.1,3571520,223244.4167,387328.8333,614967955,229.55705,132.3096167,78561,47.0,0.19,3.2,1674.9,249070000000.0
Delaware,476592589.9,3.8,965479,68554.1667,140297.5,196899033,239.347275,116.9532833,70145,31.0,1.01,4.5,450.9,61430000000.0
Florida,8940269535.0,3.6,21244317,1747853.083,3347518.333,5763762595,274.8020167,143.483475,58959,10.0,2.17,185.3,8733.4,941630000000.0
Georgia,5220842709.0,3.9,10511131,721490.5833,1556452.417,2336788286,269.9028417,125.11295,60229,12.0,1.92,84.5,4483.4,538600000000.0
Hawaii,457308984.2,2.4,1420593,83818.5833,163617.5,469433045,466.7153583,239.0906833,86433,38.0,0.69,4.5,657.9,79850000000.0
Idaho,700226624.7,2.8,1750536,70062.0833,157858.1667,199514037,237.3062417,105.3234667,58728,2.0,3.49,24.3,719.7,70860000000.0
Illinois,7196027858.0,4.3,12723071,920271.4167,1826010.917,2777948512,251.5515583,126.7767417,75684,33.0,0.95,56.6,5986.0,771700000000.0
Indiana,3141193144.0,3.4,6695497,275367.9167,617032.4167,867533147,262.5375917,117.1647167,64621,28.0,1.14,34.8,3090.2,336330000000.0
Iowa,2197721443.0,2.5,3148618,165116.0,345406.0833,446259982,225.2254917,107.6655417,74144,39.0,0.68,10.6,1558.1,173550000000.0
Kansas,1497102093.0,3.4,2911359,101445.8333,217419.5833,293539988,241.1303167,112.509025,68987,40.0,0.55,7.7,1403.5,158730000000.0
Kentucky,2270204083.0,4.3,4461153,285763.3333,615305.3333,853986982,249.0367833,115.658975,58863,42.0,0.5,9.4,1902.2,187930000000.0
Louisiana,2489362542.0,4.9,4659690,403387.9167,867341.5833,1297321641,268.0053917,124.6454,49973,48.0,0.07,1.3,1972.1,237300000000.0
Maine,700237650.3,3.4,1339057,89089.0833,167857.6667,218217647,204.119325,108.3346667,58663,18.0,1.4,8.4,609.2,58100000000.0
Maryland,2625009128.0,3.9,6035802,343933.4167,646483.25,910098604,220.5123083,117.314025,93031,35.0,0.94,25.1,2704.8,367980000000.0
Massachusetts,4227505004.0,3.3,6882635,451071.5833,770565.5,1159118509,214.1416417,125.3536667,93163,15.0,1.53,54.0,3577.8,501540000000.0
Michigan,4934435871.0,4.1,9984072,684001.0833,1281861.5,1894038446,230.7548083,123.130725,65222,24.0,1.22,52.5,4357.0,466560000000.0
Minnesota,3912815287.0,2.9,5606249,212453.25,428986.0,544420005,213.545025,105.7571417,77488,29.0,1.1,31.7,2912.4,336890000000.0
Mississippi,1646055353.0,4.8,2981020,231847.3333,505308.3333,679722657,244.314025,112.0970167,46159,49.0,-0.1,-1.2,1146.0,100870000000.0
Missouri,3305034872.0,3.2,6121623,342323.3333,736590.3333,1061334229,258.3654417,120.072875,66600,46.0,0.28,7.9,2851.2,284540000000.0
Montana,494879413.4,3.7,1060665,56024.5833,115222.8333,158389738,235.5955917,114.5532083,57679,25.0,1.22,5.6,465.4,46580000000.0
Nebraska,1045790369.0,2.8,1925614,76451.1667,169811.0833,229206174,249.8394083,112.4809667,72911,45.0,0.29,2.9,1007.1,116790000000.0
Nevada,849872620.4,4.6,3027341,228289.5,439940.6667,614241940,224.2189333,116.3493917,61864,3.0,3.31,43.5,1357.5,150450000000.0
New Hampshire,1227902365.0,2.5,1353465,43489.25,86501.6667,101469828,194.4346917,97.75325,87769,23.0,1.22,8.1,669.8,75430000000.0
New Jersey,3503643365.0,4.1,8886025,379343.1667,760303.1667,1012654300,222.4578333,110.9923833,80033,27.0,1.15,46.5,4076.4,550060000000.0
New Mexico,861734830.3,4.9,2092741,220341.25,456250.5833,638421821,241.451925,116.606575,52096,20.0,1.33,10.9,832.9,90930000000.0
New York,11583626064.0,4.1,19530351,1565541.25,2796620.167,4526970965,240.969425,134.8941083,72586,19.0,1.33,125.3,9521.6,1458380000000.0
North Carolina,4473198043.0,3.9,10381615,643153.4167,1344484.5,1919051873,248.6513833,118.94595,57583,14.0,1.77,77.2,4435.4,501560000000.0
North Dakota,413089615.2,2.6,758080,25071.5833,52621.0,75391175,250.5864083,119.3933583,71756,41.0,0.54,2.3,426.3,55910000000.0
Ohio,5535034392.0,4.6,11676341,710023.5,1421365.583,2078237006,243.9164583,121.8450917,66500,37.0,0.78,42.2,5469.4,597930000000.0
Oklahoma,1902550377.0,3.4,3940235,268710.5833,585064.0,832653493,258.225,118.5986333,58732,13.0,1.79,29.4,1668.3,197450000000.0
Oregon,1953628193.0,4.2,4181886,365382.3333,633970.0833,937798988,213.8853167,123.2706667,74626,9.0,2.26,41.9,1895.3,214900000000.0
Pennsylvania,7689615661.0,4.3,12800922,956434.5,1818588.833,2592183684,225.8547833,118.781825,69619,26.0,1.19,69.4,5918.7,704030000000.0
Rhode Island,777178357.8,4.1,1058287,94204.8333,158986.1667,259191919,229.28045,135.8566417,67183,36.0,0.82,4.0,489.2,52550000000.0
South Carolina,2329416175.0,3.4,5084156,307859.1667,658119.0833,943922431,255.5071,119.52275,61980,5.0,2.9,59.9,2123.9,207100000000.0
South Dakota,575016768.3,3.0,878698,39968.3333,87409.8333,131112641,273.36775,124.9979917,64158,34.0,0.95,4.0,426.9,46300000000.0
Tennessee,3117050293.0,3.5,6771631,471342.0833,970875.0,1424890904,251.920875,122.3029833,56060,16.0,1.51,44.9,3022.3,323540000000.0
Texas,11724170200.0,3.9,28628666,1636052.25,3895206.833,5525177455,281.4283333,118.204625,64506,11.0,2.1,254.3,12347.7,1728300000000.0
Utah,1823315647.0,3.1,3153550,77795.0833,189092.6667,258536027,276.9412667,113.9370917,83152,1.0,3.58,51.6,1492.9,164620000000.0
Vermont,458488633.2,2.7,624358,40933.5833,73057.5833,106782062,217.3888667,121.80125,75599,32.0,0.99,3.1,315.5,29600000000.0
Virginia,4526294721.0,3.0,8501286,352312.6667,736220.9167,1051800978,248.784925,119.05405,83243,21.0,1.32,51.5,3956.2,477920000000.0
Washington,2501109120.0,4.5,7523869,501867.9167,877243.9167,1268734555,210.6687333,120.5227833,79726,6.0,2.74,89.1,3340.1,515030000000.0
West Virginia,1161520349.0,5.3,1804291,165378.4167,321008.8333,440298715,221.8642583,114.300775,54566,44.0,0.47,3.3,702.1,73170000000.0
Wisconsin,2461654557.0,3.0,5807406,329203.0,652884.5833,816882114,206.782775,104.2657667,67574,22.0,1.25,36.3,2928.8,299060000000.0
Wyoming,235790083.1,4.1,577601,12988.8333,29330.1667,40676283,260.9695667,115.5701,67477,43.0,0.47,1.3,276.4,38080000000.0
