State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,2775338135.0,3.2,4903185,315551,667043,1032064886,272.56,128.94
Alaska,400523164.6,5.6,731545,35493,78932,171091672,401.7,180.63
Arizona,5143402498.0,4.8,7278717,345106,736883,1146712214,276.9,129.68
Arkansas,1350409184.0,3.5,3017804,159231,354917,460333605,240.92,108.08
California,17212221075.0,4.1,39512223,1803402,3529470,5977281299,276.2,141.13
Colorado,2788049026.0,2.7,5758736,207748,415289,639000457,256.32,128.22
Connecticut,1828889175.0,3.6,3565287,197761,340447,584718600,246.39,143.13
Delaware,473804823.1,3.6,973764,58622,119787,178138585,253.23,123.93
District of Columbia,1838047295.0,5.5,705749,60156,101230,172078913,238.38,141.66
Florida,8753066640.0,3.2,21477737,1429884,2649741,4035386245,235.18,126.91
Georgia,5062246917.0,3.6,10617423,614750,1332536,2115101241,286.72,132.27
Hawaii,449100414.2,2.5,1415872,74820,144922,448431408,499.46,257.86
Idaho,688908434.0,2.9,1787065,61390,135922,192918233,261.88,118.28
Illinois,6657828557.0,4.0,12671821,816044,1639396,2646035880,270.21,134.5
Indiana,3385141198.0,3.3,6732219,238303,530384,819644875,286.63,128.78
Iowa,1666660077.0,2.7,3155070,142502,295682,429315218,251.06,121.0
Kansas,1439276872.0,3.3,2913314,87158,185329,265322548,253.68,119.3
Kentucky,2208575378.0,4.1,4467673,226832,502241,739297747,271.6,122.67
Louisiana,2513977136.0,4.6,4648794,348643,749560,1214657938,290.33,135.04
Maine,672684725.3,2.9,1344212,78862,144433,203630527,215.18,117.49
Maryland,2480450206.0,3.4,6045680,308167,570444,878649666,237.6,128.36
Massachusetts,4052189459.0,3.0,6892503,416128,703516,1131148466,226.52,133.99
Michigan,4696645199.0,4.1,9986857,631699,1181972,1701430344,224.45,119.96
Minnesota,3770573766.0,3.3,5639632,193684,381779,509464759,219.2,111.2
Mississippi,1601803745.0,5.5,2976149,195903,420873,605780127,257.69,119.95
Missouri,3148464544.0,3.2,6137428,299268,639338,996212141,277.4,129.85
Montana,484861276.7,3.5,1068778,48974,99368,146944184,250.04,123.23
Nebraska,1028414429.0,3.1,1934408,67643,148768,221960791,273.45,124.33
Nevada,853245313.1,4.1,3080156,206100,391569,587953503,237.73,125.13
New Hampshire,1338124989.0,2.6,1359711,36685,70412,92889191,211.01,109.94
New Jersey,3447693060.0,3.5,8882190,325992,649128,953558696,243.76,122.42
New Mexico,851116686.1,5.0,2096829,204245,415161,632907856,258.23,127.04
New York,11323969827.0,3.9,19453561,1512387,2661700,4339617966,239.12,135.87
North Carolina,4320490529.0,3.9,10488084,590075,1228424,1863656810,263.2,126.43
North Dakota,409069795.8,2.2,762062,21864,45312,68485818,261.03,125.95
Ohio,5377536434.0,4.2,11689100,632171,1273257,2020497444,266.34,132.24
Oklahoma,1852146940.0,3.1,3956971,247673,531728,819546294,275.75,128.44
Oregon,1864317520.0,3.7,4217737,324903,554927,884189650,226.78,132.78
Pennsylvania,7301398795.0,4.3,12801989,872822,1627640,2513696584,240.0,128.7
Rhode Island,742469353.0,3.5,1059361,84445,141232,244223564,241.01,144.1
South Carolina,2264532149.0,2.8,5148714,259707,558722,854652751,274.24,127.47
South Dakota,546790777.2,2.8,884659,35168,75020,121995672,289.08,135.51
Tennessee,3009125001.0,3.3,6829174,398958,832130,1307248122,273.05,130.91
Texas,11585891325.0,3.5,28995881,1364935,3187238,4767112796,291.05,124.64
Utah,1910906004.0,2.5,3205958,67803,160829,234552832,288.28,121.53
Vermont,439616180.0,2.1,623989,38423,68277,100248674,217.42,122.36
Virginia,4493669761.0,2.8,8535519,318522,654882,1002380166,262.25,127.55
Washington,2471252194.0,4.2,7614893,482025,833128,1192380309,206.14,119.27
West Virginia,1147837812.0,5.0,1792147,148108,282662,397899950,223.88,117.31
Wisconsin,2371695509.0,3.2,5822434,291721,572323,778373061,222.35,113.34
Wyoming,231368787.8,3.7,578759,10912,24309,36277115,277.04,124.36
