State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household
Alabama,2748346724.0,5.9,4863525,399727.75,850804.0833,1254835320,261.602075,122.9068
Alaska,369410862.3,6.9,741456,34647.6667,82326.25,175483424,422.066475,177.6300833
Arizona,5491900165.0,5.4,6941072,427060.9167,960104.6667,1402230493,273.6203083,121.708125
Arkansas,1337088859.0,3.9,2989918,191636.25,426068.5,577775082,251.246425,113.005125
California,16889007910.0,5.5,39167117,2093561.833,4340042.083,7237700086,288.0935583,138.9713917
Colorado,2724958968.0,3.3,5539215,225333.5,475690.3333,728042703,269.2463667,127.5414333
Connecticut,1727756056.0,5.1,3578141,244926.75,431597.4167,685510011,233.2364,132.359075
Delaware,448493268.1,4.5,948921,71098.9167,147558.9167,220683314,258.6576167,124.6300583
Florida,8805642383.0,4.8,20613477,1870739.083,3454529.667,5216754147,232.3838333,125.843325
Georgia,5039337783.0,5.4,10301890,800670.0,1733473.083,2663017763,277.1655583,128.019375
Hawaii,465762397.9,2.9,1427559,89094.9167,176729.0833,484225008,452.9111833,228.3273583
Idaho,679202571.2,3.8,1682380,79531.3333,185303.4167,255423930,267.6344833,114.8674333
Illinois,7344887509.0,5.8,12820527,996092.3333,1914393.333,3040976772,254.408875,132.3733917
Indiana,3654315910.0,4.4,6634304,328688.25,741610.0,1068458926,270.88965,120.0607417
Iowa,2328499516.0,3.6,3131371,178873.75,380705.0833,507597206,236.4783417,111.1090167
Kansas,1495600389.0,4.0,2910844,114391.5833,253832.8333,342324968,249.3809417,112.3853083
Kentucky,2158537002.0,5.1,4438182,313475.8333,666264.4167,980976984,260.7795333,122.6961583
Louisiana,2205312749.0,6.0,4678135,422089.5,927168.0833,1494495292,295.058925,134.324375
Maine,683965731.5,3.8,1331317,98549.0833,189245.1667,254898802,215.5430167,112.2436417
Maryland,2448101589.0,4.4,6003323,388957.25,744342.8333,1079151904,231.2061917,120.817075
Massachusetts,4033028526.0,3.9,6823608,450363.5,779191.6667,1189716303,220.1400083,127.2383
Michigan,5048656650.0,5.0,9950571,777906.25,1473614.25,2167714845,232.2168083,122.5849333
Minnesota,4047131238.0,3.9,5522744,231227.5,478782.6667,602563639,217.1611833,104.877725
Mississippi,1533012282.0,5.8,2987938,269081.9167,582658.3333,814420697,252.2220417,116.4806
Missouri,3291937804.0,4.6,6087135,378373.4167,810690.0,1182957874,260.5358083,121.5999
Montana,467129397.1,4.1,1040859,54611.5833,116625.75,166365465,253.8616917,118.8741667
Nebraska,1004382043.0,3.1,1905616,78481.5,175850.6667,240677417,255.556425,114.0538833
Nevada,794174466.6,5.7,2917563,222252.8333,439782.4167,629519652,236.0373583,119.2861917
New Hampshire,1157881466.0,2.9,1342307,48037.1667,98464.4167,120552019,209.1297667,102.026725
New Jersey,3324720848.0,5.0,8870827,440090.75,879987.0,1223052433,231.59095,115.8210667
New Mexico,839971247.6,6.7,2091630,216876.5833,471246.75,693426783,266.4444667,122.6227333
New York,11206741059.0,4.8,19633428,1635763.75,2968227.333,4922406430,250.7700333,138.1971417
North Carolina,4252874028.0,5.1,10154788,761998.75,1568386.583,2248946897,245.948225,119.49365
North Dakota,375455733.3,3.1,754434,25261.5,54252.25,78700888,259.6206583,120.8872833
Ohio,5663996510.0,5.0,11634370,793923.0833,1608632.833,2396032919,251.497175,124.1236667
Oklahoma,1673044022.0,4.8,3926331,276267.9167,612869.3333,885643482,267.1451083,120.4231
Oregon,2069804689.0,4.8,4089976,419777.5833,734864.0,1072982185,213.0060917,121.675825
Pennsylvania,7615212760.0,5.4,12782275,950738.8333,1863835.75,2729024683,239.2021,122.0165083
Rhode Island,742128890.7,5.2,1056770,100433.0833,171055.25,271959596,225.6557167,132.4911083
South Carolina,2230956104.0,5.0,4957968,378328.25,805012.25,1222104228,269.1895667,126.5099
South Dakota,561486777.8,3.0,862996,42233.75,95983.25,144590242,285.2975833,125.5342667
Tennessee,3069563824.0,4.7,6646010,547849.5,1113230.917,1672282240,254.3706833,125.1823417
Texas,10860547355.0,4.6,27914410,1588116.417,3768471.667,5308544560,278.5555917,117.389425
Utah,1586747565.0,3.4,3041868,86244.3333,219819.5833,301869697,291.6807083,114.4384333
Vermont,450502865.9,3.2,623657,42975.6667,79715.4167,116470075,225.845,121.7561167
Virginia,4352946774.0,4.1,8410106,387632.5833,826353.5833,1169412644,251.400575,117.929
Washington,2495566768.0,5.3,7294771,546930.8333,1011411.667,1452893518,221.3707,119.7083917
West Virginia,1225997768.0,6.1,1831023,178274.25,357530.6667,499059458,233.2826417,116.3209
Wisconsin,2482946444.0,4.0,5772628,359932.9167,728076.5,922851050,213.6627417,105.6266083
Wyoming,223633057.4,5.3,584215,14367.3333,33852.9167,48510210,281.368675,119.4141583
